"","date","england_new_deaths","england_seven_day_average","wales_new_deaths","wales_seven_day_average","scotland_new_deaths","scotland_seven_day_average","northern_ireland_new_deaths","northern_ireland_seven_day_average"
"73","2020-05-29",163,178.714285714286,11,10.2857142857143,11,12.8571428571429,1,2.71428571428571
"74","2020-05-30",145,170.857142857143,10,10.7142857142857,6,12.1428571428571,2,2.71428571428571
"75","2020-05-31",113,162.714285714286,7,10,6,11.8571428571429,1,1.85714285714286
"76","2020-06-01",121,155,9,9.85714285714286,3,10.2857142857143,1,1.85714285714286
"77","2020-06-02",155,150.142857142857,5,9.14285714285714,6,9.14285714285714,2,2
"78","2020-06-03",138,145.285714285714,7,9.28571428571429,8,8,2,1.71428571428571
"79","2020-06-04",121,136.571428571429,12,8.71428571428571,1,5.85714285714286,0,1.28571428571429
"80","2020-06-05",109,128.857142857143,4,7.71428571428571,9,5.57142857142857,1,1.28571428571429
"81","2020-06-06",99,122.285714285714,9,7.57142857142857,3,5.14285714285714,0,1
"82","2020-06-07",113,122.285714285714,8,7.71428571428571,7,5.28571428571429,0,0.857142857142857
"83","2020-06-08",112,121,7,7.42857142857143,6,5.71428571428571,0,0.714285714285714
"84","2020-06-09",85,111,4,7.28571428571429,1,5,0,0.428571428571429
"85","2020-06-10",97,105.142857142857,7,7.28571428571429,5,4.57142857142857,0,0.142857142857143
"86","2020-06-11",72,98.1428571428571,5,6.28571428571429,2,4.71428571428571,2,0.428571428571429
"87","2020-06-12",73,93,4,6.28571428571429,2,3.71428571428571,1,0.428571428571429
"88","2020-06-13",53,86.4285714285714,6,5.85714285714286,3,3.71428571428571,1,0.571428571428571
"89","2020-06-14",76,81.1428571428571,6,5.57142857142857,4,3.28571428571429,0,0.571428571428571
"90","2020-06-15",63,74.1428571428571,6,5.42857142857143,3,2.85714285714286,0,0.571428571428571
"91","2020-06-16",69,71.8571428571429,8,6,6,3.57142857142857,1,0.714285714285714
"92","2020-06-17",54,65.7142857142857,1,5.14285714285714,3,3.28571428571429,1,0.857142857142857
"93","2020-06-18",57,63.5714285714286,0,4.42857142857143,3,3.42857142857143,1,0.714285714285714
"94","2020-06-19",47,59.8571428571429,4,4.42857142857143,0,3.14285714285714,1,0.714285714285714
"95","2020-06-20",54,60,3,4,3,3.14285714285714,0,0.571428571428571
"96","2020-06-21",47,55.8571428571429,5,3.85714285714286,2,2.85714285714286,0,0.571428571428571
"97","2020-06-22",58,55.1428571428571,2,3.28571428571429,3,2.85714285714286,1,0.714285714285714
"98","2020-06-23",62,54.1428571428571,1,2.28571428571429,1,2.14285714285714,1,0.714285714285714
"99","2020-06-24",67,56,6,3,1,1.85714285714286,0,0.571428571428571
"100","2020-06-25",58,56.1428571428571,9,4.28571428571429,0,1.42857142857143,1,0.571428571428571
"101","2020-06-26",38,54.8571428571429,2,4,0,1.42857142857143,2,0.714285714285714
"102","2020-06-27",39,52.7142857142857,6,4.42857142857143,4,1.57142857142857,0,0.714285714285714
"103","2020-06-28",42,52,2,4,1,1.42857142857143,0,0.714285714285714
"104","2020-06-29",34,48.5714285714286,3,4.14285714285714,1,1.14285714285714,1,0.714285714285714
