"","date","england_daily_cases","england_seven_day_average","wales_daily_cases","wales_seven_day_average","scotland_new_cases","scotland_seven_day_average","northern_ireland_new_cases","northern_ireland_seven_day_average"
"40","2020-04-14",3854,3887.85714285714,238,294.142857142857,291,304.142857142857,85,101.714285714286
"41","2020-04-15",3188,3659.28571428571,272,292.571428571429,390,311.857142857143,121,107
"42","2020-04-16",3118,3562.14285714286,284,330.857142857143,354,306.428571428571,113,103.428571428571
"43","2020-04-17",3985,3522.42857142857,244,294,307,304.857142857143,137,107
"44","2020-04-18",3548,3480.57142857143,292,287.142857142857,411,318.571428571429,148,109.857142857143
"45","2020-04-19",3607,3471.28571428571,334,282.428571428571,367,325,159,119.857142857143
"46","2020-04-20",2401,3385.85714285714,276,277.142857142857,263,340.428571428571,83,120.857142857143
"47","2020-04-21",3087,3276.28571428571,304,286.571428571429,222,330.571428571429,30,113
"48","2020-04-22",3020,3252.28571428571,274,286.857142857143,366,327.142857142857,116,112.285714285714
"49","2020-04-23",3084,3247.42857142857,234,279.714285714286,371,329.571428571429,142,116.428571428571
"50","2020-04-24",3004,3107.28571428571,243,279.571428571429,288,326.857142857143,106,112
"51","2020-04-25",2826,3004.14285714286,299,280.571428571429,354,318.714285714286,104,105.714285714286
"52","2020-04-26",2152,2796.28571428571,178,258.285714285714,273,305.285714285714,82,94.7142857142857
"53","2020-04-27",2264,2776.71428571429,203,247.857142857143,197,295.857142857143,66,92.2857142857143
"54","2020-04-28",1989,2619.85714285714,232,237.571428571429,200,292.714285714286,34,92.8571428571429
"55","2020-04-29",1403,2388.85714285714,117,215.142857142857,313,285.142857142857,55,84.1428571428571
"56","2020-04-30",2484,2303.14285714286,183,207.857142857143,319,277.714285714286,73,74.2857142857143
"57","2020-05-01",2501,2231.28571428571,160,196,301,279.571428571429,87,71.5714285714286
"58","2020-05-02",2228,2145.85714285714,183,179.428571428571,273,268,66,66.1428571428571
"59","2020-05-03",2019,2126.85714285714,174,178.857142857143,170,253.285714285714,78,65.5714285714286
"60","2020-05-04",1485,2015.57142857143,195,177.714285714286,169,249.285714285714,69,66
"61","2020-05-05",1842,1994.57142857143,145,165.285714285714,171,245.142857142857,45,67.5714285714286
"62","2020-05-06",1611,2024.28571428571,95,162.142857142857,272,239.285714285714,53,67.2857142857143
"63","2020-05-07",2133,1974.14285714286,87,148.428571428571,215,224.428571428571,50,64
"64","2020-05-08",1694,1858.85714285714,152,147.285714285714,225,213.571428571429,38,57
"65","2020-05-09",1349,1733.28571428571,118,138,156,196.857142857143,56,55.5714285714286
"66","2020-05-10",1007,1588.71428571429,223,145,181,198.428571428571,41,50.2857142857143
"67","2020-05-11",891,1503.85714285714,124,134.857142857143,141,194.428571428571,30,44.7142857142857
"68","2020-05-12",1067,1393.14285714286,105,129.142857142857,136,189.428571428571,44,44.5714285714286
"69","2020-05-13",1146,1326.71428571429,133,134.571428571429,166,174.285714285714,60,45.5714285714286
"70","2020-05-14",1189,1191.85714285714,128,140.428571428571,188,170.428571428571,38,43.8571428571429
"71","2020-05-15",1112,1108.71428571429,126,136.714285714286,143,158.714285714286,26,42.1428571428571
"72","2020-05-16",1136,1078.28571428571,183,146,187,163.142857142857,40,39.8571428571429
"73","2020-05-17",788,1047,162,137.285714285714,90,150.142857142857,28,38
"74","2020-05-18",816,1036.28571428571,101,134,57,138.142857142857,16,36
"75","2020-05-19",857,1006.28571428571,166,142.714285714286,61,127.428571428571,20,32.5714285714286
"76","2020-05-20",824,960.285714285714,110,139.428571428571,96,117.428571428571,18,26.5714285714286
"77","2020-05-21",854,912.428571428571,166,144.857142857143,105,105.571428571429,42,27.1428571428571
"78","2020-05-22",1083,908.285714285714,138,146.571428571429,113,101.285714285714,23,26.7142857142857
"79","2020-05-23",979,885.857142857143,185,146.857142857143,72,84.8571428571429,41,26.8571428571429
"80","2020-05-24",584,856.714285714286,140,143.714285714286,60,80.5714285714286,25,26.4285714285714
"81","2020-05-25",494,810.714285714286,106,144.428571428571,55,80.2857142857143,39,29.7142857142857
"82","2020-05-26",492,758.571428571429,141,140.857142857143,29,75.7142857142857,28,30.8571428571429
"83","2020-05-27",609,727.857142857143,97,139,55,69.8571428571429,26,32
"84","2020-05-28",519,680,72,125.571428571429,48,61.7142857142857,16,28.2857142857143
"85","2020-05-29",560,605.285714285714,102,120.428571428571,39,51.1428571428571,17,27.4285714285714
"86","2020-05-30",715,567.571428571429,86,106.285714285714,55,48.7142857142857,13,23.4285714285714
"87","2020-05-31",320,529.857142857143,82,98,18,42.7142857142857,7,20.8571428571429
"88","2020-06-01",294,501.285714285714,59,91.2857142857143,18,37.4285714285714,12,17
"89","2020-06-02",444,494.428571428571,67,80.7142857142857,53,40.8571428571429,4,13.5714285714286
"90","2020-06-03",462,473.428571428571,82,78.5714285714286,33,37.7142857142857,8,11
"91","2020-06-04",431,460.857142857143,35,73.2857142857143,49,37.8571428571429,33,13.4285714285714
"92","2020-06-05",451,445.285714285714,76,69.5714285714286,29,36.4285714285714,3,11.4285714285714
"93","2020-06-06",422,403.428571428571,42,63.2857142857143,21,31.5714285714286,14,11.5714285714286
"94","2020-06-07",228,390.285714285714,40,57.2857142857143,18,31.5714285714286,6,11.4285714285714
"95","2020-06-08",92,361.428571428571,42,54.8571428571429,18,31.5714285714286,6,10.5714285714286
"96","2020-06-09",651,391,42,51.2857142857143,14,26,3,10.4285714285714
"97","2020-06-10",63,334,38,45,12,23,13,11.1428571428571
"98","2020-06-11",304,315.857142857143,63,49,17,18.4285714285714,4,7
"99","2020-06-12",392,307.428571428571,77,49.1428571428571,27,18.1428571428571,16,8.85714285714286
"100","2020-06-13",372,300.285714285714,45,49.5714285714286,21,18.1428571428571,3,7.28571428571429
"101","2020-06-14",292,309.428571428571,39,49.4285714285714,25,19.1428571428571,7,7.42857142857143
"102","2020-06-15",219,327.571428571429,62,52.2857142857143,29,20.7142857142857,4,7.14285714285714
"103","2020-06-16",252,270.571428571429,65,55.5714285714286,15,20.8571428571429,2,7
"104","2020-06-17",252,297.571428571429,53,57.7142857142857,21,22.1428571428571,8,6.28571428571429
"105","2020-06-18",281,294.285714285714,48,55.5714285714286,11,21.2857142857143,1,5.85714285714286
"106","2020-06-19",323,284.428571428571,31,49,27,21.2857142857143,3,4
"107","2020-06-20",324,277.571428571429,25,46.1428571428571,26,22,0,3.57142857142857
"108","2020-06-21",215,266.571428571429,100,54.8571428571429,26,22.1428571428571,4,3.14285714285714
